Planned sync tasks: 58 (shard=0/1)
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/33 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/33
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/34 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/34
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/35 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/35
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/36 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/36
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/38 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/38
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/39 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/39
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/40 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/40
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/41 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/41
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/43 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/43
  /Volumes/samsung_ssd/data/birdsong/day43 Bells/pk249/44 -> s3://example-bucket/autoencoded-vocal-analysis/pk249-33-90/audio/day43 Bells/pk249/44
